id,nome,cpf,prioridade,data
1238,Igor Nascimento,85072957027,3,2025-03-26
1239,Vanessa Souza,71068851307,1,2025-11-23
1240,Marcos Santos,40045313895,2,2022-06-09
1241,Vanessa Lima,97914489192,5,2023-07-16
1242,Kaique Ribeiro,49082140307,1,2021-10-23
1243,Igor Santos,02067245942,5,2023-09-24
1244,Nathalia Araújo,46460341250,5,2022-03-10
1245,Nathalia Araújo,83562143481,1,2022-03-27
1246,Carlos Lima,02091751653,4,2022-07-21
1247,Sara Costa,35914103552,5,2023-04-29
1248,Daniela Lima,70596585694,1,2025-10-03
1249,Ana Almeida,85968854861,4,2023-10-02
1250,Vanessa Costa,15434876522,1,2025-08-18
1251,Helena Gomes,74610918261,4,2025-06-29
1252,Rafael Nascimento,43297232761,3,2024-03-18
1253,Igor Gomes,21375863475,2,2025-04-29
1254,Rafael Costa,49275822852,1,2023-01-25
1255,Eduardo Araújo,69454923156,1,2025-05-11
1256,Vanessa Almeida,41441362094,2,2024-04-11
1257,Helena Ribeiro,12097179156,3,2024-02-14
1258,Patricia Pereira,17154255013,1,2022-03-21
1259,Eduardo Silva,79397464485,5,2022-07-15
1260,Gustavo Rodrigues,69721002366,5,2024-07-05
1261,Larissa Gomes,73098049866,1,2023-10-18
1262,Daniela Araújo,68140745506,5,2021-08-18
1263,Otavio Souza,88110494465,5,2024-05-26
1264,Gustavo Souza,58894951907,1,2021-09-04
1265,Rafael Rodrigues,40706261788,3,2024-04-10
1266,Kaique Ribeiro,01856364921,1,2021-09-12
1267,Rafael Gomes,82873444016,3,2024-01-19
1268,Helena Pereira,17863551840,5,2023-03-19
1269,Vanessa Oliveira,95658784403,4,2021-09-01
1270,Tiago Rodrigues,21907710016,2,2024-02-17
1271,Ana Lima,89460492263,4,2022-07-11
1272,Otavio Gomes,54042349257,1,2020-11-26
1273,Eduardo Almeida,39057188032,4,2024-11-15
1274,Carlos Carvalho,88559202321,2,2023-10-22
1275,Rafael Almeida,87526822469,1,2024-08-19
1276,Marcos Rodrigues,19880665139,5,2023-04-12
1277,Bruno Nascimento,50369063366,1,2024-10-07
1278,Marcos Silva,50717887801,4,2025-07-02
1279,Carlos Costa,19083065649,3,2023-05-27
1280,Sara Pereira,25384507173,4,2022-08-25
1281,Marcos Ribeiro,75301042850,4,2022-06-19
1282,Julia Silva,73056503071,4,2023-07-31
1283,Nathalia Costa,03138515657,1,2023-05-23
1284,Tiago Gomes,57236029635,4,2024-11-11
1285,Daniela Lima,96226152489,1,2021-11-03
1286,Eduardo Santos,90421007768,3,2024-08-14
1287,Ana Costa,28377601691,1,2021-02-12
1288,Rafael Nascimento,52569393843,4,2021-08-28
1289,Helena Souza,03621982121,3,2021-03-16
1290,Marcos Ribeiro,17588557723,3,2024-09-13
1291,Vanessa Gomes,38171880977,3,2021-02-19
1292,Bruno Souza,88422486303,4,2025-04-07
1293,Otavio Santos,93930262853,3,2021-09-07
1294,Tiago Araújo,91788263936,2,2025-10-22
1295,Sara Araújo,98402248679,4,2024-08-29
1296,Nathalia Souza,84340545313,4,2025-02-05
1297,Gustavo Carvalho,33053128510,2,2022-02-28
1298,Ana Oliveira,70483179771,1,2022-05-03
1299,Otavio Santos,40702928419,5,2024-02-05
1300,Daniela Almeida,98750257038,1,2022-07-23
1301,Patricia Santos,23700488318,4,2021-11-29
1302,Igor Oliveira,89784411004,1,2022-12-22
1303,Tiago Nascimento,45529332367,2,2023-11-19
1304,Carlos Ribeiro,92812712682,1,2021-10-02
1305,Daniela Pereira,80053103826,1,2021-01-23
1306,Ana Santos,19153581587,5,2025-09-06
1307,Daniela Gomes,64100753891,3,2025-01-02
1308,Patricia Silva,21888009820,4,2023-04-26
1309,Julia Pereira,88282498605,1,2021-02-25
1310,Gustavo Souza,89365151177,5,2021-10-21
1311,Carlos Almeida,72284545289,1,2023-05-21
1312,Rafael Carvalho,28058827817,4,2025-07-06
1313,Daniela Lima,92159808346,5,2022-11-19
1314,Rafael Costa,51114631770,5,2022-07-08
1315,Bruno Rodrigues,67626411688,1,2022-10-26
1316,Larissa Oliveira,00786086852,3,2025-09-09
1317,Fernanda Ribeiro,00347079854,2,2022-01-16
1318,Larissa Almeida,63515350086,3,2021-12-17
1319,Kaique Lima,87151405963,4,2023-01-24
1320,Fernanda Souza,48539488190,3,2024-10-16
1321,Otavio Almeida,14800002272,2,2022-02-13
1322,Tiago Silva,82405345816,1,2021-07-13
1323,Nathalia Araújo,34057405452,5,2022-11-20
1324,Vanessa Ribeiro,37457782839,2,2024-07-11
1325,Daniela Carvalho,43226603654,4,2021-04-28
1326,Tiago Rodrigues,20819682321,1,2023-01-15
1327,Bruno Pereira,11706630630,5,2021-03-01
1328,Marcos Pereira,69263523011,5,2024-03-26
1329,Helena Pereira,39540795902,1,2025-02-14
1330,Marcos Gomes,88401709824,5,2022-07-22
1331,Igor Costa,49664812615,3,2023-12-28
1332,Ana Santos,08439391616,1,2024-03-13
1333,Tiago Almeida,93239019908,1,2021-10-13
1334,Tiago Rodrigues,06613717849,2,2023-07-01
1335,Larissa Nascimento,91354383583,5,2022-08-31
1336,Ana Oliveira,96076100179,3,2024-09-02
1337,Tiago Santos,93804420521,2,2021-01-26
1338,Igor Costa,52524047236,1,2025-03-17
1339,Kaique Lima,25856046611,1,2021-03-05
1340,Patricia Almeida,79511562352,4,2024-07-02
1341,Carlos Souza,94966493800,4,2023-04-21
1342,Rafael Pereira,72666556055,2,2025-07-16
1343,Bruno Araújo,04937330674,5,2020-12-25
1344,Sara Gomes,96640956547,3,2021-09-22
1345,Helena Almeida,61416413768,2,2021-07-05
1346,Sara Ribeiro,88786574114,4,2024-10-06
1347,Bruno Carvalho,70935538649,4,2020-12-14
1348,Vanessa Ribeiro,56083368933,4,2022-10-28
1349,Otavio Araújo,02847904764,4,2025-01-06
1350,Ana Gomes,35496948664,3,2021-08-14
1351,Tiago Pereira,96413650462,1,2024-08-10
1352,Vanessa Santos,34725257431,2,2025-07-04
1353,Julia Ribeiro,17779686972,4,2022-07-27
1354,Larissa Pereira,38124193640,2,2022-10-09
1355,Fernanda Araújo,26766884837,2,2023-02-25
1356,Helena Santos,82479465316,2,2020-12-04
1357,Helena Gomes,97936295506,4,2023-09-21
1358,Igor Gomes,02017435842,3,2021-09-04
1359,Vanessa Souza,25212285960,5,2024-05-15
1360,Tiago Costa,27949569659,2,2023-08-02
1361,Sara Rodrigues,33510272659,2,2022-02-04
1362,Ana Santos,69270576227,3,2025-10-21
1363,Helena Santos,68823952469,5,2023-07-23
1364,Gustavo Rodrigues,83835451674,5,2025-06-30
1365,Julia Araújo,13887097708,4,2025-11-21
1366,Kaique Carvalho,56889829513,2,2023-08-07
1367,Julia Nascimento,01483968465,4,2023-09-15
1368,Bruno Oliveira,15968786745,3,2022-08-18
1369,Gustavo Costa,86081450613,3,2021-12-12
1370,Gustavo Costa,25090972619,4,2024-06-19
1371,Julia Almeida,91278143194,1,2023-07-30
1372,Kaique Costa,17093862442,3,2021-07-15
1373,Igor Rodrigues,67493186939,5,2020-11-30
1374,Julia Lima,01534587045,3,2022-02-05
1375,Eduardo Santos,16365140293,4,2023-09-12
1376,Helena Costa,84958867217,1,2025-03-02
1377,Vanessa Gomes,72258520289,3,2022-10-27
1378,Otavio Costa,21636166396,1,2024-11-07
1379,Daniela Almeida,85052812465,1,2024-06-16
1380,Kaique Almeida,72924636852,3,2022-11-27
1381,Patricia Gomes,33824999573,2,2021-03-23
1382,Igor Ribeiro,43242714581,5,2023-01-03
1383,Julia Lima,01608746558,3,2023-09-26
1384,Otavio Pereira,25759141791,1,2022-02-20
1385,Gustavo Silva,50474045656,1,2025-01-30
1386,Julia Souza,18391623019,2,2023-03-20
1387,Carlos Gomes,71265510129,3,2024-01-23
1388,Eduardo Carvalho,95360231647,2,2022-03-08
1389,Fernanda Lima,83194266901,5,2023-10-24
1390,Marcos Silva,94200505204,1,2024-02-27
1391,Bruno Almeida,34133900042,3,2024-09-10
1392,Patricia Carvalho,03887112400,4,2023-12-31
1393,Tiago Almeida,69749508322,4,2021-01-08
1394,Kaique Souza,36422126862,1,2022-07-29
1395,Daniela Santos,81360353051,2,2024-07-22
1396,Julia Nascimento,16832896153,5,2023-12-19
1397,Otavio Gomes,27312439706,1,2023-07-30
1398,Bruno Oliveira,69581964575,2,2023-12-27
1399,Ana Gomes,97289080783,1,2021-10-05
1400,Eduardo Carvalho,87934008082,5,2022-12-15
1401,Vanessa Gomes,62151491137,3,2021-08-16
1402,Tiago Lima,99824310484,3,2024-04-10
1403,Vanessa Oliveira,51721618738,5,2025-09-25
1404,Nathalia Gomes,99126591294,1,2022-05-09
1405,Kaique Nascimento,87609292651,1,2024-09-03
1406,Kaique Santos,84258334810,4,2024-05-05
1407,Tiago Pereira,02327130756,4,2022-06-20
1408,Larissa Lima,91713177881,2,2022-05-16
1409,Helena Silva,96901313414,3,2023-06-06
1410,Julia Carvalho,12310984685,5,2023-01-25
1411,Igor Gomes,65759342818,2,2023-03-26
1412,Ana Almeida,49595260342,3,2023-11-22
1413,Daniela Souza,56137990606,3,2025-04-12
1414,Vanessa Carvalho,58030673619,2,2024-09-12
1415,Kaique Carvalho,99844170996,5,2023-09-30
1416,Nathalia Santos,50023920364,4,2023-07-30
1417,Kaique Araújo,77503408959,2,2022-04-08
1418,Vanessa Lima,25747615027,3,2025-05-29
1419,Bruno Santos,66371291858,2,2021-05-25
1420,Igor Costa,34601228263,1,2025-09-19
1421,Tiago Carvalho,50811084792,5,2021-08-17
1422,Tiago Santos,45704563420,1,2024-06-18
1423,Julia Pereira,96974640045,3,2025-07-10
1424,Rafael Ribeiro,50369503339,4,2023-05-19
1425,Ana Rodrigues,83179098890,2,2023-07-01
1426,Eduardo Nascimento,48908389602,1,2022-05-12
1427,Eduardo Gomes,40703877783,2,2025-11-18
1428,Fernanda Carvalho,99775510827,3,2023-03-25
1429,Nathalia Silva,17721593637,2,2023-02-10
1430,Otavio Costa,40058224009,5,2024-06-23
1431,Larissa Oliveira,64886935042,1,2023-07-21
1432,Nathalia Silva,52097276475,3,2022-05-28
1433,Gustavo Pereira,88198134943,3,2023-10-08
1434,Julia Santos,95822608351,2,2023-04-27
1435,Kaique Gomes,04093731377,1,2024-09-23
1436,Rafael Oliveira,75319301887,2,2022-11-24
1437,Ana Silva,81504243544,5,2021-01-21
1438,Larissa Souza,98303510136,5,2021-06-18
1439,Daniela Costa,55775679779,2,2021-08-20
1440,Eduardo Costa,03953072765,2,2025-02-01
1441,Vanessa Lima,68431699755,5,2022-04-20
1442,Nathalia Santos,18176340159,5,2024-05-30
1443,Rafael Gomes,19632462502,3,2024-07-06
1444,Fernanda Nascimento,35071889890,4,2024-06-15
1445,Patricia Lima,13496968313,2,2024-11-25
1446,Rafael Ribeiro,89421170872,2,2021-02-10
1447,Julia Lima,74946117995,3,2024-09-19
1448,Igor Souza,03684277394,5,2021-07-28
1449,Carlos Araújo,91371250540,5,2023-05-10
1450,Bruno Almeida,74971385099,5,2023-12-13
1451,Tiago Costa,67961261738,1,2025-05-16
1452,Sara Araújo,07911551495,4,2021-06-16
1453,Julia Ribeiro,95784947993,5,2021-05-10
1454,Bruno Nascimento,74095578828,5,2022-12-09
1455,Gustavo Silva,59437349445,4,2021-11-06
1456,Ana Almeida,05325900531,4,2022-11-26
1457,Julia Santos,62825827524,5,2025-06-24
1458,Fernanda Nascimento,27766251991,5,2024-03-05
1459,Otavio Rodrigues,09196092444,1,2023-07-17
1460,Bruno Rodrigues,44954853798,3,2021-11-16
1461,Fernanda Costa,80207045093,3,2022-05-09
1462,Helena Costa,44876354269,5,2023-10-24
1463,Julia Santos,22199910663,1,2023-03-10
1464,Bruno Souza,47825866462,2,2024-09-01
1465,Nathalia Santos,61010484580,3,2022-01-02
1466,Carlos Rodrigues,09562877897,3,2021-03-12
1467,Eduardo Araújo,75912050103,4,2024-10-11
1468,Otavio Lima,17977857512,4,2025-09-30
1469,Vanessa Oliveira,84068569015,4,2021-10-19
1470,Helena Oliveira,31340480749,1,2023-01-24
1471,Daniela Gomes,39172140157,1,2022-05-07
1472,Kaique Gomes,48914940711,2,2025-06-25
1473,Patricia Ribeiro,38970124077,1,2025-09-28
1474,Gustavo Lima,73581921847,5,2025-07-13
1475,Kaique Lima,50574336187,1,2025-06-27
1476,Marcos Gomes,49865671208,1,2021-08-18
1477,Helena Lima,16789287879,3,2020-12-30
1478,Fernanda Costa,21230659308,4,2022-03-25
1479,Patricia Santos,66949460776,2,2024-07-19
1480,Helena Araújo,31716585055,2,2022-10-17
1481,Marcos Ribeiro,68227773756,5,2023-08-07
1482,Ana Oliveira,72005853990,3,2025-07-18
1483,Rafael Carvalho,73151074964,1,2024-07-12
1484,Igor Oliveira,64108312158,2,2023-09-14
1485,Gustavo Oliveira,23645645753,3,2022-03-12
1486,Julia Araújo,68916311994,3,2023-07-07
1487,Sara Silva,68633508188,2,2022-10-10
1488,Igor Souza,83619928131,1,2025-09-28
1489,Larissa Almeida,05217544127,4,2022-07-06
1490,Nathalia Araújo,85082530234,1,2021-08-09
1491,Igor Santos,87420165525,3,2022-01-14
1492,Daniela Rodrigues,79990224821,5,2023-02-09
1493,Patricia Oliveira,35594907122,5,2022-11-28
1494,Bruno Gomes,89580839199,5,2021-04-15
1495,Fernanda Lima,07300644178,5,2024-04-01
1496,Ana Ribeiro,41346461674,5,2025-11-06
1497,Otavio Pereira,67535546774,1,2025-02-06
1498,Julia Rodrigues,82974647644,5,2024-04-17
1499,Tiago Pereira,80509251379,5,2024-03-12
1500,Nathalia Pereira,30513972570,4,2021-09-25
1501,Larissa Oliveira,86733828615,3,2021-07-27
1502,Helena Araújo,35250739183,5,2021-07-07
1503,Vanessa Souza,25484329131,3,2025-06-09
1504,Tiago Araújo,67537042718,1,2025-06-10
1505,Larissa Rodrigues,77647653532,5,2021-12-22
1506,Marcos Pereira,35541275850,5,2020-12-10
1507,Daniela Araújo,64966641351,1,2023-11-09
1508,Helena Souza,70274600951,5,2022-04-22
1509,Carlos Carvalho,73284101496,5,2024-06-17
1510,Vanessa Carvalho,88968956475,2,2025-05-13
1511,Helena Nascimento,79489941150,2,2025-02-18
1512,Patricia Santos,26222968831,3,2023-08-10
1513,Otavio Ribeiro,72587994666,1,2025-02-19
1514,Kaique Costa,99903761589,4,2025-11-21
1515,Julia Almeida,19789616693,5,2025-08-12
1516,Tiago Oliveira,05549845380,2,2022-08-29
1517,Vanessa Santos,40680748050,4,2021-11-07
1518,Daniela Nascimento,46063251016,3,2022-04-16
1519,Bruno Costa,57436490848,3,2024-02-12
1520,Daniela Pereira,67204902063,2,2023-02-22
1521,Igor Souza,68296199590,1,2025-03-31
1522,Bruno Ribeiro,31880652934,2,2022-06-14
1523,Larissa Nascimento,61661720502,3,2022-09-16
1524,Sara Rodrigues,91494248511,2,2024-08-15
1525,Tiago Pereira,96988581440,2,2020-12-29
1526,Rafael Costa,33375468810,3,2022-03-02
1527,Eduardo Gomes,31325312281,1,2022-01-21
1528,Eduardo Nascimento,45965219455,3,2025-03-24
1529,Helena Rodrigues,59356106196,2,2022-11-15
1530,Gustavo Araújo,47154552548,1,2022-03-15
1531,Ana Costa,28518519760,5,2024-12-01
1532,Eduardo Souza,35010826628,3,2025-08-15
1533,Patricia Rodrigues,94726855314,5,2025-07-21
1534,Helena Ribeiro,88856079910,3,2023-09-23
1535,Otavio Araújo,98705533433,4,2022-03-30
1536,Daniela Pereira,30130553630,2,2025-01-06
1537,Daniela Nascimento,84654722901,3,2023-04-18
1538,Ana Oliveira,67600979252,5,2022-07-06
1539,Igor Araújo,60321165122,3,2022-12-11
1540,Ana Rodrigues,86055991380,5,2025-01-28
1541,Eduardo Araújo,81181463330,4,2024-08-31
1542,Julia Silva,00360126106,3,2023-11-23
1543,Julia Lima,09554180894,3,2024-07-09
1544,Igor Oliveira,59576882601,1,2022-10-22
1545,Tiago Gomes,10723232824,4,2023-04-27
1546,Nathalia Pereira,83650458132,1,2025-06-06
1547,Helena Lima,29434506459,4,2023-02-24
1548,Bruno Pereira,39055525804,5,2022-11-17
1549,Carlos Lima,88490315317,4,2022-02-07
1550,Helena Lima,37301384194,3,2023-10-08
1551,Otavio Almeida,52942787260,4,2024-11-25
1552,Nathalia Carvalho,86634158034,5,2020-12-04
1553,Gustavo Carvalho,04544763752,5,2025-01-25
1554,Larissa Carvalho,20192431362,3,2022-09-01
1555,Larissa Lima,67223519833,3,2024-12-25
1556,Fernanda Gomes,48989179842,1,2023-07-03
1557,Patricia Carvalho,30506379704,3,2023-05-29
1558,Larissa Ribeiro,96486102355,4,2025-05-29
1559,Eduardo Lima,04964378447,1,2021-04-29
1560,Helena Rodrigues,86786889746,4,2024-10-24
1561,Gustavo Carvalho,60736055280,1,2021-06-18
1562,Bruno Araújo,08447994427,1,2025-05-04
1563,Bruno Santos,16193371379,3,2023-04-21
1564,Carlos Lima,62150077251,1,2022-07-03
1565,Patricia Silva,61110124873,1,2022-01-30
1566,Kaique Araújo,86648660765,5,2023-04-15
1567,Rafael Ribeiro,02883869187,4,2022-12-29
1568,Tiago Araújo,89287078155,5,2023-12-21
1569,Eduardo Lima,38503347976,2,2025-09-20
1570,Rafael Ribeiro,34304813174,3,2024-10-28
1571,Kaique Gomes,57131398667,3,2021-02-25
1572,Fernanda Oliveira,70786028950,1,2022-07-17
1573,Tiago Ribeiro,57216048534,2,2021-03-14
1574,Bruno Carvalho,58290184348,5,2024-01-18
1575,Sara Carvalho,44436210954,4,2021-04-11
1576,Sara Silva,50764330365,2,2022-07-19
1577,Nathalia Pereira,45892433544,3,2023-09-14
1578,Helena Almeida,80451210838,5,2023-10-12
1579,Vanessa Gomes,04926140371,3,2023-02-27
1580,Carlos Costa,21734445547,5,2024-03-21
1581,Daniela Silva,51850670660,4,2021-12-17
1582,Sara Nascimento,02795632800,1,2024-03-22
1583,Igor Souza,93167637053,4,2021-04-20
1584,Patricia Gomes,19401128290,5,2023-01-08
1585,Helena Silva,20891379374,3,2023-05-14
1586,Sara Lima,86380537787,2,2024-08-10
1587,Igor Araújo,45745338059,4,2021-12-20
1588,Bruno Costa,23398657450,3,2021-05-22
1589,Julia Gomes,96827643718,5,2020-12-26
1590,Patricia Araújo,63674258451,4,2021-04-07
1591,Ana Nascimento,02323540850,1,2022-12-05
1592,Bruno Oliveira,59985909614,5,2025-07-07
1593,Bruno Pereira,34651575548,1,2025-05-14
1594,Gustavo Souza,21017206437,5,2024-03-16
1595,Vanessa Souza,33619695992,2,2022-09-11
1596,Fernanda Almeida,00383868965,5,2022-12-06
1597,Igor Oliveira,72531825701,3,2021-12-30
1598,Sara Souza,65261413975,2,2023-11-17
1599,Tiago Pereira,69311025562,1,2021-05-13
1600,Carlos Silva,74694515573,1,2022-09-20
1601,Eduardo Oliveira,83858423108,2,2023-02-16
1602,Kaique Costa,14077740455,4,2023-07-27
1603,Marcos Costa,56799275476,3,2025-11-18
1604,Marcos Gomes,36193090168,2,2025-09-20
1605,Rafael Araújo,54748094330,2,2024-06-04
1606,Marcos Carvalho,77921693525,3,2021-05-12
1607,Eduardo Costa,96929189924,3,2024-07-13
1608,Gustavo Carvalho,96300859525,2,2023-07-30
1609,Ana Gomes,60762890485,2,2022-03-01
1610,Gustavo Gomes,63036884826,5,2021-03-23
1611,Rafael Souza,14651262346,4,2021-11-02
1612,Bruno Carvalho,07247242671,2,2024-07-07
1613,Patricia Gomes,96827321749,2,2024-07-10
1614,Eduardo Santos,45651254448,5,2022-09-23
1615,Ana Araújo,26859719013,4,2023-12-04
1616,Ana Costa,99226423913,1,2025-03-22
1617,Gustavo Almeida,64695536260,3,2021-09-15
1618,Carlos Almeida,19620970433,4,2021-05-31
1619,Gustavo Araújo,42134702609,5,2023-06-14
1620,Tiago Souza,73227243557,4,2023-07-21
1621,Bruno Carvalho,53855606907,4,2022-12-11
1622,Ana Carvalho,07670898396,1,2025-11-12
1623,Marcos Almeida,65226289922,1,2022-11-20
1624,Nathalia Araújo,05321382273,3,2023-02-08
1625,Carlos Santos,50925466285,3,2020-12-31
1626,Otavio Almeida,33899426600,5,2024-04-18
1627,Ana Costa,40067291921,1,2021-10-05
1628,Patricia Araújo,90772129811,3,2024-07-18
1629,Carlos Costa,09339224062,2,2025-06-19
1630,Rafael Gomes,45083059120,3,2021-06-19
1631,Carlos Almeida,32435680970,4,2025-01-05
1632,Vanessa Rodrigues,22108114242,4,2023-03-16
1633,Ana Oliveira,58522648712,2,2025-11-22
1634,Sara Lima,70690876301,4,2022-05-12
1635,Ana Carvalho,36491036998,3,2021-04-18
1636,Carlos Nascimento,58495315391,3,2024-04-19
1637,Nathalia Lima,18400994651,2,2022-09-14
1638,Sara Rodrigues,15664417829,5,2023-04-20
1639,Julia Gomes,62963559483,4,2022-01-28
1640,Marcos Araújo,19738057183,5,2025-07-03
1641,Kaique Oliveira,45458814336,4,2023-04-15
1642,Fernanda Gomes,74978826896,5,2023-11-08
1643,Rafael Lima,50748501864,5,2025-07-01
1644,Fernanda Oliveira,46205739177,1,2021-07-30
1645,Bruno Costa,26619792746,5,2023-07-17
1646,Sara Ribeiro,63892322733,1,2021-06-03
1647,Nathalia Costa,12968133106,3,2022-01-23
1648,Fernanda Gomes,77431144772,1,2025-06-03
1649,Kaique Carvalho,77734511529,4,2024-11-25
1650,Gustavo Carvalho,06845764925,1,2024-08-28
1651,Igor Silva,00863181489,2,2025-08-01
1652,Julia Costa,36398876992,4,2024-07-26
1653,Larissa Ribeiro,43777724130,3,2023-03-13
1654,Fernanda Costa,74201526288,1,2023-08-26
1655,Sara Nascimento,18429623617,3,2023-05-13
1656,Larissa Lima,80786375657,2,2022-09-12
1657,Vanessa Lima,95999990671,3,2024-01-12
1658,Patricia Santos,73362401770,1,2021-04-26
1659,Fernanda Oliveira,80649732908,5,2024-11-01
1660,Fernanda Santos,64828602638,4,2021-03-07
1661,Rafael Almeida,16106117440,2,2023-09-16
1662,Tiago Souza,02408489454,5,2025-02-24
1663,Tiago Lima,89272398895,2,2023-10-26
1664,Tiago Rodrigues,47914962595,1,2023-11-28
1665,Igor Pereira,80172482889,2,2025-09-01
1666,Sara Gomes,25233425351,3,2025-10-24
1667,Marcos Ribeiro,43148537936,4,2023-06-20
1668,Helena Silva,56383645492,2,2023-11-26
1669,Gustavo Oliveira,59825554880,4,2025-10-20
1670,Bruno Silva,70918769244,1,2022-02-02
1671,Ana Gomes,36512108368,1,2021-09-27
1672,Kaique Oliveira,65581769693,4,2025-01-20
1673,Gustavo Almeida,37718696562,5,2025-11-02
1674,Sara Costa,60182267991,1,2023-12-01
1675,Sara Pereira,02319083405,1,2023-01-28
1676,Rafael Gomes,18893882893,4,2022-09-06
1677,Kaique Lima,18802547865,5,2024-05-23
1678,Marcos Costa,35072111275,1,2024-10-02
1679,Helena Santos,97550053546,5,2021-01-02
1680,Bruno Pereira,66097263143,4,2022-09-27
1681,Julia Pereira,80735777747,4,2021-01-07
1682,Julia Pereira,24601568727,5,2024-12-25
1683,Helena Pereira,82913355170,3,2023-01-05
1684,Marcos Oliveira,36304740916,3,2025-01-18
1685,Tiago Gomes,48176537389,4,2021-03-24
1686,Patricia Araújo,22815420287,1,2021-03-20
1687,Otavio Ribeiro,83039234887,2,2024-04-26
1688,Marcos Nascimento,76506676083,2,2021-05-24
1689,Gustavo Silva,99261370352,1,2023-05-02
1690,Larissa Souza,19761549609,1,2024-09-24
1691,Fernanda Nascimento,34733039583,1,2022-07-16
1692,Helena Araújo,37154500865,3,2023-12-05
1693,Patricia Lima,58792225825,4,2022-10-24
1694,Marcos Nascimento,36156952005,1,2021-07-12
1695,Gustavo Rodrigues,62402756382,3,2023-08-03
1696,Carlos Rodrigues,37294958874,1,2024-01-05
1697,Ana Oliveira,51876464992,2,2021-09-29
1698,Kaique Oliveira,45128555982,1,2022-11-20
1699,Carlos Costa,68196985454,1,2020-11-29
1700,Patricia Souza,10628079077,3,2023-09-10
1701,Tiago Silva,75133595799,5,2021-10-30
1702,Marcos Costa,88564025600,5,2025-07-22
1703,Gustavo Oliveira,90387617895,1,2021-02-02
1704,Ana Souza,03684230637,2,2024-08-09
1705,Carlos Almeida,63926591559,5,2024-12-12
1706,Marcos Santos,02396725666,3,2022-07-13
1707,Igor Ribeiro,04109690156,1,2020-12-11
1708,Julia Gomes,20183383556,3,2025-04-09
1709,Otavio Oliveira,45683023720,1,2023-10-21
1710,Rafael Rodrigues,34689045934,3,2025-11-15
1711,Larissa Pereira,97827255714,5,2024-09-16
1712,Marcos Costa,03418277403,1,2023-12-07
1713,Kaique Costa,78977439857,4,2023-06-18
1714,Daniela Almeida,79222950730,1,2025-03-13
1715,Daniela Santos,35758063701,3,2024-09-28
1716,Eduardo Silva,95372819321,3,2025-03-09
1717,Kaique Costa,60364144314,2,2024-09-08
1718,Bruno Nascimento,18741130730,2,2024-07-04
1719,Larissa Ribeiro,30248848214,3,2024-07-12
1720,Daniela Gomes,42024050278,5,2021-11-01
1721,Nathalia Gomes,79415068217,1,2024-09-23
1722,Sara Silva,35525921465,2,2022-02-09
1723,Gustavo Silva,36584376348,1,2022-10-11
1724,Sara Souza,57437442695,3,2021-10-28
1725,Otavio Silva,99585242223,5,2024-08-29
1726,Carlos Gomes,73837253195,4,2023-03-15
1727,Ana Carvalho,67211031980,4,2025-02-16
1728,Marcos Gomes,75532092878,3,2022-09-26
1729,Bruno Silva,24921287884,1,2023-07-16
1730,Fernanda Ribeiro,05111213294,2,2021-05-31
1731,Gustavo Souza,65604912463,2,2024-02-14
1732,Kaique Nascimento,18469254115,3,2024-12-22
1733,Gustavo Pereira,74898229210,1,2024-04-07
1734,Sara Carvalho,38626682696,4,2022-02-09
1735,Otavio Lima,13527843042,5,2023-08-01
1736,Larissa Santos,47645132412,1,2024-07-11
1737,Ana Costa,17749340312,5,2025-04-09
1738,Eduardo Rodrigues,62637703427,1,2023-02-12
1739,Nathalia Almeida,37593807344,3,2025-05-06
1740,Daniela Oliveira,44299348536,2,2025-08-20
1741,Marcos Almeida,04683846655,3,2021-01-17
1742,Gustavo Santos,18460645437,2,2023-07-20
1743,Larissa Silva,86081603367,4,2022-08-25
1744,Daniela Costa,81608318803,5,2021-08-15
1745,Rafael Ribeiro,08757531421,2,2022-11-29
1746,Sara Santos,24293605903,2,2023-03-15
1747,Rafael Silva,75015621076,5,2022-03-23
1748,Ana Almeida,33423682199,3,2025-08-31
1749,Ana Ribeiro,68885386415,4,2022-11-13
1750,Bruno Oliveira,03914491336,1,2022-07-05
1751,Fernanda Nascimento,30043656927,3,2022-06-23
1752,Julia Gomes,05042121976,1,2021-10-30
1753,Tiago Souza,64005246691,4,2024-09-25
1754,Nathalia Carvalho,04090657706,2,2022-04-26
1755,Tiago Souza,37408292318,5,2024-12-07
1756,Larissa Oliveira,44673450054,4,2021-11-14
1757,Tiago Lima,11708786493,3,2023-08-13
1758,Larissa Santos,71216973551,2,2024-04-04
1759,Gustavo Costa,78806952127,3,2021-02-26
1760,Patricia Araújo,60198890444,3,2024-12-08
1761,Bruno Costa,02929061038,4,2022-07-31
1762,Igor Pereira,99641401334,3,2022-09-26
1763,Tiago Santos,68247160335,1,2021-10-07
1764,Rafael Gomes,52958818229,2,2025-02-02
1765,Bruno Santos,91930205567,2,2022-10-25
1766,Julia Costa,01093378801,1,2024-10-21
1767,Rafael Santos,84058479764,5,2024-11-06
1768,Kaique Almeida,35518803172,2,2024-12-26
1769,Kaique Santos,80814444671,2,2022-03-23
1770,Larissa Oliveira,22033192049,4,2025-08-08
1771,Eduardo Oliveira,95682874123,5,2025-04-04
1772,Eduardo Oliveira,13153141531,3,2021-06-08
1773,Marcos Silva,54841772530,2,2024-12-11
1774,Gustavo Pereira,17340141974,4,2023-05-05
